feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,shortest_path_length,simple_path_length,Novel/Interesting?,Makes Sense?,COMMENTS
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the lung|Asthma","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Asthma",0,0.009,0.006,0,12,1.85,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Asthma >= 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.317,2,22,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis",0,0.001,0.008,0,12,1,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis < 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.309,2,22,,,
"Medication for cholesterol, blood pressure or diabetes Medication None of the above","Medication for cholesterol, blood pressure or diabetes Medication_None of the above",0,0,-0.026,0.006,13,1.05,"Medication for cholesterol, blood pressure or diabetes Medication_None of the above < 0.50",67221,(Cholelithiasis) OR (Gallbladder disease),0.244,2,51,,,
neurological problem,"Non-cancer illness code, self-reported | Array 5__neurological problem",0,0.017,0.006,0.002,13,1,"Non-cancer illness code, self-reported | Array 5__neurological problem < 0.28",53874,(Cholelithiasis) OR (Gallbladder disease),0.949,2,90,,,
spondylitis,"Non-cancer illness code, self-reported | Array 4__spondylitis",0,0,0.011,0,13,1.79,"0.22 <= Non-cancer illness code, self-reported | Array 4__spondylitis < 0.72",33052,(Cholelithiasis) OR (Gallbladder disease),0.88,2,125,,,
spine arthritis,"Non-cancer illness code, self-reported | Array 4__spine arthritis",0,0,0.008,0,13,1.79,"Non-cancer illness code, self-reported | Array 4__spine arthritis >= 0.23",33052,(Cholelithiasis) OR (Gallbladder disease),0.863,2,125,,,
eye eyelid,"Non-cancer illness code, self-reported | Array 3__eye eyelid",0,0.02,0.005,0,14,1.47,"Non-cancer illness code, self-reported | Array 3__eye eyelid >= 0.24",47399,(Cholelithiasis) OR (Gallbladder disease),0.82,2,1,,,
emphysema chronic,"Non-cancer illness code, self-reported | Array 0__emphysema chronic",0,0,0.011,0,14,1.37,"Non-cancer illness code, self-reported | Array 0__emphysema chronic >= 0.23",11650,(Cholelithiasis) OR (Gallbladder disease),0.982,2,169,,,
anaphylactic,"Non-cancer illness code, self-reported | Array 3__anaphylactic",0,0.021,0.005,0,14,1.52,"0.18 <= Non-cancer illness code, self-reported | Array 3__anaphylactic < 0.37",12492,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Sodium in urine,Sodium in urine,0.002,0.005,0.007,0,15,1.36,3.10 <= Sodium in urine < 3.80,10886,(Cholelithiasis) OR (Gallbladder disease),0.6,99,188,,,
Sodium in urine result flag,Sodium in urine result flag_None,0,0,-0.01,0.04,15,1.65,Sodium in urine result flag_None < 0.50,10886,(Cholelithiasis) OR (Gallbladder disease),0.522,99,188,,,
deficiency,"Non-cancer illness code, self-reported | Array 6__deficiency",0,0.004,0.007,0,15,1,"Non-cancer illness code, self-reported | Array 6__deficiency < 0.23",16272,(Cholelithiasis) OR (Gallbladder disease),0.751,99,15,,,
Sodium in urine result flag Result below 10 millimole/L,Sodium in urine result flag_Result below 10 millimole/L,0,0,0.01,0,15,1.65,Sodium in urine result flag_Result below 10 millimole/L >= 0.50,10886,(Cholelithiasis) OR (Gallbladder disease),0.441,99,188,,,
Job code at visit certified accountants,Job code at visit__certified accountants,0,0.001,-0.008,0,15,1,Job code at visit__certified accountants < 0.23,70962,(Cholelithiasis) OR (Gallbladder disease),0.619,3,0,,,
Job code at visit accountants,Job code at visit__accountants,0,0.001,-0.008,0,15,1,Job code at visit__accountants < 0.23,70962,(Cholelithiasis) OR (Gallbladder disease),0.686,3,0,,,
Age asthma diagnosed,Age asthma diagnosed_23,0,0,0.009,0,15,1.91,Age asthma diagnosed_23 >= 0.50,22110,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Birth weight,Birth weight,0,0,-0.01,0.001,16,1.19,Birth weight < -3.30,59001,(Cholelithiasis) OR (Gallbladder disease),0.722,2,0,,,
depression,"Non-cancer illness code, self-reported | Array 4__depression",0,0.001,0.008,0,16,1.32,"Non-cancer illness code, self-reported | Array 4__depression >= 0.84",163800,(Cholelithiasis) OR (Gallbladder disease),0.678,2,22,,,
arthritis spondylitis,"Non-cancer illness code, self-reported | Array 4__arthritis spondylitis",0,0,0.008,0,16,1.79,"Non-cancer illness code, self-reported | Array 4__arthritis spondylitis >= 0.23",36307,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Weight change during worst episode of depression Gained weight,Weight change during worst episode of depression_Gained weight,0,0,0.008,0,16,1.15,Weight change during worst episode of depression_Gained weight >= 0.50,163800,(Cholelithiasis) OR (Gallbladder disease),0.449,2,22,,,
Weight change during worst episode of depression Both gained and lost some weight during this time,Weight change during worst episode of depression_Both gained and lost some weight during this time,0,0.008,0.006,0,16,1.17,Weight change during worst episode of depression_Both gained and lost some weight during this time >= 0.50,163800,(Cholelithiasis) OR (Gallbladder disease),0.481,2,22,,,
Mental health conditions ever diagnosed by a professional group depression,Mental health conditions ever diagnosed by a professional__group depression,0,0.003,0.008,0,16,1.41,0.09 <= Mental health conditions ever diagnosed by a professional__group depression < 0.16,163800,(Cholelithiasis) OR (Gallbladder disease),0.577,2,22,,,
Illnesses of siblings 0 Severe depression,Illnesses of siblings_0_Severe depression,0,0.001,0.008,0,16,1.1,Illnesses of siblings_0_Severe depression >= 0.50,163800,(Cholelithiasis) OR (Gallbladder disease),0.481,2,22,,,
eyelid,"Non-cancer illness code, self-reported | Array 3__eyelid",0,0.026,0.005,0.001,17,1.45,"Non-cancer illness code, self-reported | Array 3__eyelid >= 0.24",44105,(Cholelithiasis) OR (Gallbladder disease),0.815,2,1,,,
obstructive airways,"Non-cancer illness code, self-reported | Array 2__obstructive airways",0,0.045,0.005,0,17,1.44,"Non-cancer illness code, self-reported | Array 2__obstructive airways >= 0.17",71250,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Qualifications College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,0,0,-0.016,0.002,18,1.01,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent < 0.50,32383,(Cholelithiasis) OR (Gallbladder disease),0.279,2,1,,,
Illnesses of siblings 3 Breast cancer,Illnesses of siblings_3_Breast cancer,0,0.014,0.006,0,18,1.58,Illnesses of siblings_3_Breast cancer >= 0.50,17046,(Cholelithiasis) OR (Gallbladder disease),0.442,2,0,,,
Illnesses of siblings 2 Breast cancer,Illnesses of siblings_2_Breast cancer,0,0.025,0.005,0,18,1.26,Illnesses of siblings_2_Breast cancer >= 0.50,17046,(Cholelithiasis) OR (Gallbladder disease),0.519,2,0,,,
(AAM) age at menopause genetic risk,(AAM) age at menopause genetic risk,0.005,0.004,-0.006,0,19,1.62,0.78 <= (AAM) age at menopause genetic risk < 0.78,9013,(Cholelithiasis) OR (Gallbladder disease),0.429,99,186,,,
"Qualifications Other professional qualifications eg: nursing, teaching","Qualifications_Other professional qualifications eg: nursing, teaching",0.001,0.032,0.005,0.001,19,1.06,"Qualifications_Other professional qualifications eg: nursing, teaching >= 0.50",56633,(Cholelithiasis) OR (Gallbladder disease),0.172,2,12,,,
Mineral and other dietary supplements Glucosamine,Mineral and other dietary supplements_Glucosamine,0.001,0,-0.009,0.001,19,1.01,Mineral and other dietary supplements_Glucosamine < 0.50,25726,(Cholelithiasis) OR (Gallbladder disease),0.67,2,0,,,
Number of treatments medications taken,Number of treatments/medications taken,0.007,0,0.045,0.006,21,1.52,2.60 <= Number of treatments/medications taken < 6.00,15206,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Z96.6 - Presence of orthopaedic joint implants,Z96.6 - Presence of orthopaedic joint implants,0,0.039,-0.003,0,21,2.04,#NAME?,152392,(Cholelithiasis) OR (Gallbladder disease),0.242,99,43,,,
hypersensitivity anaphylaxis,"Non-cancer illness code, self-reported | Array 6__hypersensitivity anaphylaxis",0,0.004,0.007,0,22,1,"Non-cancer illness code, self-reported | Array 6__hypersensitivity anaphylaxis < 0.23",28865,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Method of diagnosis when first had COVID 19,Method of diagnosis when first had COVID-19_None,0,0,0.014,0.034,23,1.02,Method of diagnosis when first had COVID-19_None >= 0.50,11672,(Cholelithiasis) OR (Gallbladder disease),0.42,3,51,,,
Genetic ethnic grouping Caucasian,Genetic ethnic grouping_Caucasian,0.002,0,0.013,0.033,24,1.02,Genetic ethnic grouping_Caucasian >= 0.50,12715,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Stiffness method,Stiffness method_None,0,0,0.01,0.032,24,1.02,Stiffness method_None >= 0.50,55460,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
anaphylaxis,"Non-cancer illness code, self-reported | Array 6__anaphylaxis",0,0.004,0.007,0.001,24,1,"Non-cancer illness code, self-reported | Array 6__anaphylaxis < 0.23",35690,(Cholelithiasis) OR (Gallbladder disease),0.791,2,0,,,
Medication for cholesterol blood pressure or diabetes Medication Cholesterol lowering medication Blood pressure medication Insulin,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin",0,0.002,0.007,0.001,24,1.32,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin >= 0.50",18749,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
anaphylactic reaction,"Non-cancer illness code, self-reported | Array 3__anaphylactic reaction",0,0.021,0.005,0,24,1.52,"0.18 <= Non-cancer illness code, self-reported | Array 3__anaphylactic reaction < 0.37",35690,(Cholelithiasis) OR (Gallbladder disease),0.805,2,0,,,
Medication for cholesterol blood pressure or diabetes Cholesterol lowering medication Blood pressure medication Insulin,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin",0,0.002,0.007,0,24,1.32,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin >= 0.50",18749,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
(ISS) ischaemic stroke genetic risk,(ISS) ischaemic stroke genetic risk,0.005,0,0.011,0,25,1.59,0.49 <= (ISS) ischaemic stroke genetic risk < 0.50,114888,(Cholelithiasis) OR (Gallbladder disease),0.422,2,245,,,
multiple sclerosis,"Non-cancer illness code, self-reported | Array 0__multiple sclerosis",0,0,0.008,0,28,1.53,"Non-cancer illness code, self-reported | Array 0__multiple sclerosis >= 0.55",117900,(Cholelithiasis) OR (Gallbladder disease),0.794,2,6,,,
Variation in diet Never/rarely,Variation in diet_Never/rarely,0,0,-0.014,0.01,29,1.03,Variation in diet_Never/rarely < 0.50,25422,(Cholelithiasis) OR (Gallbladder disease),0.413,99,282,,,
Ever addicted to any substance or behaviour,Ever addicted to any substance or behaviour_No,0,0,-0.017,0.007,29,1.03,Ever addicted to any substance or behaviour_No < 0.50,160265,(Cholelithiasis) OR (Gallbladder disease),0.685,2,36,,,
Variation in diet Often,Variation in diet_Often,0,0,0.008,0.001,29,1.08,Variation in diet_Often >= 0.50,25422,(Cholelithiasis) OR (Gallbladder disease),0.46,99,282,,,
Variation in diet,Variation in diet_Do not know,0,0.043,0.005,0.001,29,1.23,Variation in diet_Do not know >= 0.50,25422,(Cholelithiasis) OR (Gallbladder disease),0.524,99,282,,,
cataract,"Non-cancer illness code, self-reported | Array 0__cataract",0,0.033,-0.005,0,29,1,"Non-cancer illness code, self-reported | Array 0__cataract < 0.50",91208,(Cholelithiasis) OR (Gallbladder disease),0.815,2,0,,,
Nervous feelings,Nervous feelings_No,0,0.011,-0.006,0.034,30,1.03,Nervous feelings_No < 0.50,170447,(Cholelithiasis) OR (Gallbladder disease),0.94,99,68,,,
Pulmonary collapse; interstitial and compensatory emphysema,Pulmonary collapse; interstitial and compensatory emphysema,0,0.024,0.008,0,30,2.13,Pulmonary collapse; interstitial and compensatory emphysema >= 12.00,58185,(Cholelithiasis) OR (Gallbladder disease),0.171,99,14,,,
Medication for cholesterol blood pressure or diabetes Medication Blood pressure medication Insulin,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication|Insulin",0,0.014,0.006,0,30,1.64,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication|Insulin >= 0.50",22784,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
chronic bronchitis,"Non-cancer illness code, self-reported | Array 0__chronic bronchitis",0,0,0.011,0,31,1.37,"Non-cancer illness code, self-reported | Array 0__chronic bronchitis >= 0.23",17623,(Cholelithiasis) OR (Gallbladder disease),0.849,2,0,,,
Essential hypertension,Essential hypertension,0.002,0.004,-0.003,0.001,32,1.26,#NAME?,38957,(Cholelithiasis) OR (Gallbladder disease),0.751,2,169,,,
Illnesses of siblings 1 Parkinson's disease,Illnesses of siblings_1_Parkinson's disease,0,0.048,-0.005,0.001,32,1,Illnesses of siblings_1_Parkinson's disease < 0.50,156644,(Cholelithiasis) OR (Gallbladder disease),0.628,2,152,,,
Illnesses of mother 0 Parkinson's disease,Illnesses of mother_0_Parkinson's disease,0,0.034,0.005,0.001,32,1.13,Illnesses of mother_0_Parkinson's disease >= 0.50,156644,(Cholelithiasis) OR (Gallbladder disease),0.598,2,152,,,
deep venous,"Non-cancer illness code, self-reported | Array 0__deep venous",0,0.012,0.006,0.001,33,1.15,"Non-cancer illness code, self-reported | Array 0__deep venous >= 0.19",38935,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Other serious medical condition/disability diagnosed by doctor Yes - you will be asked about this later by an interviewer,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,0.002,0,0.033,0.006,35,1.19,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer >= 0.50,109148,(Cholelithiasis) OR (Gallbladder disease),0.228,2,14,,,
Medication for cholesterol blood pressure or diabetes Medication Cholesterol lowering medication,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication",0,0,-0.008,0,35,1.01,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication < 0.50",24877,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Medication for cholesterol blood pressure or diabetes Cholesterol lowering medication,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication",0,0,-0.008,0,35,1.01,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication < 0.50",24877,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Myocardial infarction,Myocardial infarction,0.001,0.012,0.009,0,36,1.64,0.52 <= Myocardial infarction < 1.20,18300,(Cholelithiasis) OR (Gallbladder disease),0.713,2,172,,,
heart attack,"Non-cancer illness code, self-reported | Array 0__heart attack",0,0,0.015,0.001,36,1.27,"Non-cancer illness code, self-reported | Array 0__heart attack >= 0.19",18300,(Cholelithiasis) OR (Gallbladder disease),0.537,2,172,,,
medication tablet,Treatment/medication code | Array 0__tablet,0,0.006,0.009,0,36,1.59,0.18 <= Treatment/medication code | Array 0__tablet < 0.19,51267,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
airways disease,"Non-cancer illness code, self-reported | Array 2__airways disease",0,0.045,0.005,0,36,1.44,"Non-cancer illness code, self-reported | Array 2__airways disease >= 0.17",95950,(Cholelithiasis) OR (Gallbladder disease),0.935,2,3,,,
"Z88.8 - Personal history of allergy to other drugs, medicaments and biological substances","Z88.8 - Personal history of allergy to other drugs, medicaments and biological substances",0,0,0.011,0.001,37,1.57,"Z88.8 - Personal history of allergy to other drugs, medicaments and biological substances >= 5.60",150170,(Cholelithiasis) OR (Gallbladder disease),0.321,99,26,,,
allergy,"Non-cancer illness code, self-reported | Array 0__allergy",0,0.063,-0.004,0,37,1,"Non-cancer illness code, self-reported | Array 0__allergy < 0.17",150170,(Cholelithiasis) OR (Gallbladder disease),0.694,99,26,,,
migraine,"Non-cancer illness code, self-reported | Array 4__migraine",0,0.001,0.008,0,38,1.72,"0.25 <= Non-cancer illness code, self-reported | Array 4__migraine < 0.75",39013,(Cholelithiasis) OR (Gallbladder disease),0.788,2,0,,,
Ethnic background African,Ethnic background_African,0.003,0,-0.014,0,39,1,Ethnic background_African < 0.50,39374,(Cholelithiasis) OR (Gallbladder disease),0.774,2,0,,,
prolapsed,"Non-cancer illness code, self-reported | Array 6__prolapsed",0,0,0.008,0,40,1,"Non-cancer illness code, self-reported | Array 6__prolapsed < 0.17",39627,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
prolapse,"Non-cancer illness code, self-reported | Array 2__prolapse",0,0.016,0.006,0,40,1.46,"Non-cancer illness code, self-reported | Array 2__prolapse >= 0.34",39627,(Cholelithiasis) OR (Gallbladder disease),0.69,2,7,,,
Mineral and other dietary supplements None of the above,Mineral and other dietary supplements_None of the above,0.024,0,0.016,0.027,43,1.05,Mineral and other dietary supplements_None of the above >= 0.50,126244,(Cholelithiasis) OR (Gallbladder disease),0.702,2,0,,,
epilepsy,"Non-cancer illness code, self-reported | Array 3__epilepsy",0,0.03,0.005,0,43,1.62,"Non-cancer illness code, self-reported | Array 3__epilepsy >= 0.50",191899,(Cholelithiasis) OR (Gallbladder disease),0.601,2,0,,,
Mineral and other dietary supplements Glucosamine|Selenium,Mineral and other dietary supplements_Glucosamine|Selenium,0,0.042,-0.005,0,43,1,Mineral and other dietary supplements_Glucosamine|Selenium < 0.50,126244,(Cholelithiasis) OR (Gallbladder disease),0.523,2,0,,,
Suffer from 'nerves',Suffer from 'nerves'_Yes,0,0,0.01,0.004,44,1.06,Suffer from 'nerves'_Yes >= 0.50,109562,(Cholelithiasis) OR (Gallbladder disease),0.416,2,13,,,
Illnesses of siblings 1 None of the above (group 2),Illnesses of siblings_1_None of the above (group 2),0.002,0,-0.018,0.03,46,1.07,Illnesses of siblings_1_None of the above (group 2) < 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.415,2,11,,,
Illnesses of siblings 0 None of the above (group 1),Illnesses of siblings_0_None of the above (group 1),0.002,0,-0.016,0.018,46,1.04,Illnesses of siblings_0_None of the above (group 1) < 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.465,2,11,,,
Illnesses of siblings 1 High blood pressure,Illnesses of siblings_1_High blood pressure,0,0,0.008,0.002,46,1.12,Illnesses of siblings_1_High blood pressure >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.324,2,11,,,
Illnesses of siblings 3 Stroke,Illnesses of siblings_3_Stroke,0,0.001,0.007,0.001,46,1.48,Illnesses of siblings_3_Stroke >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.207,2,11,,,
Illnesses of siblings 1 Lung cancer,Illnesses of siblings_1_Lung cancer,0,0,0.008,0.001,46,1.32,Illnesses of siblings_1_Lung cancer >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.342,2,11,,,
Illnesses of siblings 3 Lung cancer,Illnesses of siblings_3_Lung cancer,0,0.001,0.007,0,46,1.67,Illnesses of siblings_3_Lung cancer >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.287,2,11,,,
Illnesses of siblings 2 Stroke,Illnesses of siblings_2_Stroke,0,0.03,0.005,0,46,1.19,Illnesses of siblings_2_Stroke >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.191,2,11,,,
Illnesses of siblings 2 None of the above (group 2),Illnesses of siblings_2_None of the above (group 2),0,0.002,0.007,0,46,1.1,Illnesses of siblings_2_None of the above (group 2) >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.376,2,11,,,
Illnesses of siblings 2 High blood pressure,Illnesses of siblings_2_High blood pressure,0,0.013,0.006,0,46,1.21,Illnesses of siblings_2_High blood pressure >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.263,2,11,,,
Illnesses of siblings 2 Chronic bronchitis/emphysema,Illnesses of siblings_2_Chronic bronchitis/emphysema,0,0.002,0.007,0,46,1.37,Illnesses of siblings_2_Chronic bronchitis/emphysema >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.343,2,11,,,
Illnesses of siblings 1 Prefer not to answer (group 2),Illnesses of siblings_1_Prefer not to answer (group 2),0,0.009,0.006,0,46,1.82,Illnesses of siblings_1_Prefer not to answer (group 2) >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.395,2,11,,,
Illnesses of siblings 1 Chronic bronchitis/emphysema,Illnesses of siblings_1_Chronic bronchitis/emphysema,0,0.001,0.008,0,46,1.26,Illnesses of siblings_1_Chronic bronchitis/emphysema >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.402,2,11,,,
Illnesses of siblings 0 Prostate cancer,Illnesses of siblings_0_Prostate cancer,0,0.035,0.005,0,46,1.12,Illnesses of siblings_0_Prostate cancer >= 0.50,65108,(Cholelithiasis) OR (Gallbladder disease),0.364,2,11,,,
anxiety,"Non-cancer illness code, self-reported | Array 3__anxiety",0,0.005,0.006,0,49,1.45,"Non-cancer illness code, self-reported | Array 3__anxiety >= 0.22",188810,(Cholelithiasis) OR (Gallbladder disease),0.575,2,74,,,
Mental health conditions ever diagnosed by a professional depression anxiety,Mental health conditions ever diagnosed by a professional__depression anxiety,0,0.03,0.006,0,49,1.37,0.13 <= Mental health conditions ever diagnosed by a professional__depression anxiety < 0.19,188810,(Cholelithiasis) OR (Gallbladder disease),0.661,2,74,,,
iron deficiency,"Non-cancer illness code, self-reported | Array 6__iron deficiency",0,0.004,0.007,0.001,50,1,"Non-cancer illness code, self-reported | Array 6__iron deficiency < 0.23",41738,(Cholelithiasis) OR (Gallbladder disease),0.854,2,202,,,
Z98.0 - Intestinal bypass and anastomosis status,Z98.0 - Intestinal bypass and anastomosis status,0.001,0.129,0.01,0,51,2.17,#NAME?,5420,(Cholelithiasis) OR (Gallbladder disease),0.372,99,156,,,
medication oil,Treatment/medication code | Array 0__oil,0,0.006,-0.007,0,52,1.11,0.46 <= Treatment/medication code | Array 0__oil < 0.88,53354,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Frequency of tiredness / lethargy in last 2 weeks Nearly every day,Frequency of tiredness / lethargy in last 2 weeks_Nearly every day,0.003,0,0.032,0,53,1.36,Frequency of tiredness / lethargy in last 2 weeks_Nearly every day >= 0.50,8755,(Cholelithiasis) OR (Gallbladder disease),0.53,2,194,,,
Frequency of tiredness / lethargy in last 2 weeks Not at all,Frequency of tiredness / lethargy in last 2 weeks_Not at all,0,0,-0.032,0.02,53,1.09,Frequency of tiredness / lethargy in last 2 weeks_Not at all < 0.50,8755,(Cholelithiasis) OR (Gallbladder disease),0.535,2,194,,,
Frequency of tiredness / lethargy in last 2 weeks Several days,Frequency of tiredness / lethargy in last 2 weeks_Several days,0,0.001,0.008,0.016,53,1.03,Frequency of tiredness / lethargy in last 2 weeks_Several days >= 0.50,8755,(Cholelithiasis) OR (Gallbladder disease),0.579,2,194,,,
Frequency of tiredness / lethargy in last 2 weeks More than half the days,Frequency of tiredness / lethargy in last 2 weeks_More than half the days,0,0,0.012,0,53,1.14,Frequency of tiredness / lethargy in last 2 weeks_More than half the days >= 0.50,8755,(Cholelithiasis) OR (Gallbladder disease),0.541,2,194,,,
medication capsule,Treatment/medication code | Array 0__capsule,0.001,0.192,0.001,0,54,1.78,0.39 <= Treatment/medication code | Array 0__capsule < 0.46,47124,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
(LDL SF) low density lipoprotein cholesterol genetic risk,(LDL_SF) low density lipoprotein cholesterol genetic risk,0.024,0,-0.012,0,55,1.54,(LDL_SF) low density lipoprotein cholesterol genetic risk >= 3.00,32821,(Cholelithiasis) OR (Gallbladder disease),0.635,2,340,,,
dermatitis,"Non-cancer illness code, self-reported | Array 1__dermatitis",0,0.028,-0.005,0,58,1,"Non-cancer illness code, self-reported | Array 1__dermatitis < 0.29",148640,(Cholelithiasis) OR (Gallbladder disease),0.909,2,0,,,
Health satisfaction,Health satisfaction_None,0,0,0.01,0.034,65,1.02,Health satisfaction_None >= 0.50,158952,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Shortness of breath,Shortness of breath,0,0.078,0.007,0,65,1.94,Shortness of breath >= 8.10,76708,(Cholelithiasis) OR (Gallbladder disease),0.865,2,175,,,
Job code at visit medical practitioners,Job code at visit__medical practitioners,0,0.026,-0.005,0,65,1,Job code at visit__medical practitioners < 0.30,93904,(Cholelithiasis) OR (Gallbladder disease),0.682,2,174,,,
Surgery/amputation of toe or leg,Surgery/amputation of toe or leg_No,0,0,0.01,0,72,1.1,Surgery/amputation of toe or leg_No >= 0.50,233457,(Cholelithiasis) OR (Gallbladder disease),0.557,2,49,,,
"Other chronic ischemic heart disease, unspecified","Other chronic ischemic heart disease, unspecified",0.002,0.036,-0.001,0,73,1.63,#NAME?,46176,(Cholelithiasis) OR (Gallbladder disease),0.903,2,0,,,
myocardial,"Non-cancer illness code, self-reported | Array 0__myocardial",0,0,0.015,0.001,73,1.27,"Non-cancer illness code, self-reported | Array 0__myocardial >= 0.19",254299,(Cholelithiasis) OR (Gallbladder disease),0.842,2,0,,,
Alcohol intake frequency Three or four times a week,Alcohol intake frequency._Three or four times a week,0.024,0,-0.026,0.005,75,1.04,Alcohol intake frequency._Three or four times a week < 0.50,40151,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
CVD cardiovascular disease genetic risk,(CVD) cardiovascular disease genetic risk,0.006,0.873,0,0,77,1,(CVD) cardiovascular disease genetic risk >= -2.90,73282,(Cholelithiasis) OR (Gallbladder disease),0.332,2,83,,,
medication mineral,Treatment/medication code | Array 0__mineral,0,0.017,-0.005,0,81,1,Treatment/medication code | Array 0__mineral < 0.22,92146,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
bronchitis,"Non-cancer illness code, self-reported | Array 0__bronchitis",0,0.046,0.008,0,82,1.37,"0.22 <= Non-cancer illness code, self-reported | Array 0__bronchitis < 0.72",45668,(Cholelithiasis) OR (Gallbladder disease),0.765,2,57,,,
disease copd,"Non-cancer illness code, self-reported | Array 2__disease copd",0,0.045,0.005,0,85,1.44,"Non-cancer illness code, self-reported | Array 2__disease copd >= 0.17",103586,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
headaches,"Non-cancer illness code, self-reported | Array 4__headaches",0,0.018,0.005,0,87,1.72,"Non-cancer illness code, self-reported | Array 4__headaches >= 0.30",128908,(Cholelithiasis) OR (Gallbladder disease),0.772,2,217,,,
Chronic airway obstruction,Chronic airway obstruction,0.001,0,0.007,0.002,90,1.95,Chronic airway obstruction >= 7.20,109381,(Cholelithiasis) OR (Gallbladder disease),0.785,2,55,,,
Mental health conditions ever diagnosed by a professional group group,Mental health conditions ever diagnosed by a professional__group group,0.013,0,-0.027,0.006,91,1.05,Mental health conditions ever diagnosed by a professional__group group < 0.12,253520,(Cholelithiasis) OR (Gallbladder disease),0.226,2,36,,,
