Query,feature_name,cui,cui_def,KG_Hits,sim_score,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
,Job code at visit industrial trainers,,,0,1.0,0.0,0.0,0.0,0.042,-0.005,0.001,Job code at visit__industrial trainers,1.0,188922,Job code at visit__industrial trainers < 0.20,-0.08,-0.08,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit primary,,,0,1.0,0.0,0.0,0.0,0.046,-0.005,0.002,Job code at visit__primary,1.0,186706,Job code at visit__primary < 0.19,-0.15,-0.15,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Health satisfaction,,,0,1.0,0.0,0.0,0.0,0.0,0.01,0.034,Health satisfaction_None,1.02,126069,Health satisfaction_None >= 0.50,-0.04,-0.04,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,rheumatoid,,,0,1.0,0.0,0.0,0.0,0.044,0.005,0.0,"Non-cancer illness code, self-reported | Array 2__rheumatoid",1.28,506,"Non-cancer illness code, self-reported | Array 2__rheumatoid >= 0.30",0.12,0.12,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Mouth/teeth dental problems Mouth ulcers|Painful gums|Toothache|Dentures,,,0,1.0,0.0,0.0,0.0,0.009,0.006,0.001,Mouth/teeth dental problems_Mouth ulcers|Painful gums|Toothache|Dentures,1.0,189576,Mouth/teeth dental problems_Mouth ulcers|Painful gums|Toothache|Dentures < 0.50,0.2,0.2,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Mouth/teeth dental problems Mouth ulcers|Painful gums|Bleeding gums|Loose teeth,,,0,1.0,0.0,0.0,0.0,0.015,0.006,0.0,Mouth/teeth dental problems_Mouth ulcers|Painful gums|Bleeding gums|Loose teeth,1.0,189531,Mouth/teeth dental problems_Mouth ulcers|Painful gums|Bleeding gums|Loose teeth < 0.50,0.18,0.25,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,medication elleste,,,0,1.0,0.0,0.0,0.0,0.026,0.005,0.0,Treatment/medication code | Array 0__elleste,1.59,208,0.19 <= Treatment/medication code | Array 0__elleste < 0.41,-0.0,-0.0,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Doctor diagnosed lung cancer (not mesothelioma),,,0,1.0,0.0,0.0,0.0,0.0,-0.016,0.005,Doctor diagnosed lung cancer (not mesothelioma)_No,1.03,148115,Doctor diagnosed lung cancer (not mesothelioma)_No < 0.50,-0.04,-0.04,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,anaphylactic,,,0,1.0,0.0,0.0,0.0,0.021,0.005,0.0,"Non-cancer illness code, self-reported | Array 3__anaphylactic",1.52,116,"0.18 <= Non-cancer illness code, self-reported | Array 3__anaphylactic < 0.37",-0.19,-0.19,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Mouth/teeth dental problems Painful gums|Bleeding gums|Loose teeth|Dentures,,,0,1.0,0.0,0.0,0.0,0.004,0.007,0.0,Mouth/teeth dental problems_Painful gums|Bleeding gums|Loose teeth|Dentures,1.0,189532,Mouth/teeth dental problems_Painful gums|Bleeding gums|Loose teeth|Dentures < 0.50,0.14,0.17,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Frequency of friend/family visits Almost daily,,,0,1.0,0.0,0.0,0.001,0.0,0.016,0.001,Frequency of friend/family visits_Almost daily,1.13,24894,Frequency of friend/family visits_Almost daily >= 0.50,-0.04,-0.04,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Average Diameter for HDL Particles,,,0,1.0,0.0,0.0,0.003,0.0,-0.018,0.001,Average Diameter for HDL Particles,1.54,599,-1.10 <= Average Diameter for HDL Particles < -1.00,0.05,0.05,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Ethnic background Prefer not to answer,,,0,1.0,0.0,0.0,0.0,0.018,-0.005,0.0,Ethnic background_Prefer not to answer,1.0,189005,Ethnic background_Prefer not to answer < 0.50,0.02,0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Frequency of depressed mood in last 2 weeks Several days,,,0,1.0,0.0,0.0,0.0,0.0,0.011,0.004,Frequency of depressed mood in last 2 weeks_Several days,1.07,34638,Frequency of depressed mood in last 2 weeks_Several days >= 0.50,-0.03,-0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,medication elleste duet,,,0,1.0,0.0,0.0,0.0,0.007,0.006,0.001,Treatment/medication code | Array 0__elleste duet,1.59,208,Treatment/medication code | Array 0__elleste duet >= 0.21,0.0,0.0,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,medication oil capsule,,,0,1.0,0.0,0.0,0.0,0.004,-0.007,0.0,Treatment/medication code | Array 0__oil capsule,1.0,184440,Treatment/medication code | Array 0__oil capsule < 0.19,0.04,0.04,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Illnesses of mother 2 Chronic bronchitis/emphysema,,,0,1.0,0.0,0.0,0.0,0.0,0.009,0.001,Illnesses of mother_2_Chronic bronchitis/emphysema,1.41,856,Illnesses of mother_2_Chronic bronchitis/emphysema >= 0.50,0.22,0.26,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,medication gaviscon,,,0,1.0,0.0,0.0,0.0,0.012,0.006,0.001,Treatment/medication code | Array 0__gaviscon,1.47,284,Treatment/medication code | Array 0__gaviscon >= 0.29,-0.01,-0.01,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Hearing difficulty/problems,,,0,1.0,0.0,0.0,0.001,0.006,0.006,0.008,Hearing difficulty/problems_Yes,1.03,50060,Hearing difficulty/problems_Yes >= 0.50,0.15,0.15,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Medication for cholesterol, blood pressure or diabetes Medication Cholesterol lowering medication|Blood pressure medication|Insulin",,,0,1.0,0.0,0.0,0.0,0.002,0.007,0.001,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin",1.32,950,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin >= 0.50",0.15,0.15,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Oily fish intake Less than once a week,,,0,1.0,0.0,0.0,0.011,0.0,0.009,0.01,Oily fish intake_Less than once a week,1.04,61105,Oily fish intake_Less than once a week >= 0.50,0.07,0.09,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,deep venous,,,0,1.0,0.0,0.0,0.0,0.012,0.006,0.001,"Non-cancer illness code, self-reported | Array 0__deep venous",1.15,2621,"Non-cancer illness code, self-reported | Array 0__deep venous >= 0.19",-0.07,-0.07,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Never eat eggs, dairy, wheat, sugar Eggs or foods containing eggs|Dairy products",,,0,1.0,0.0,0.0,0.0,0.037,0.005,0.001,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs|Dairy products",1.33,406,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs|Dairy products >= 0.50",-0.01,-0.01,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Never eat eggs, dairy, wheat, sugar Wheat products|Sugar or foods/drinks containing sugar",,,0,1.0,0.0,0.0,0.0,0.046,0.005,0.0,"Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar",1.19,1110,"Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar >= 0.50",-0.01,-0.01,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"dietary changes in the last 5 years Yes, because of other reasons",,,0,1.0,0.0,0.0,0.002,0.0,0.009,0.01,"Major dietary changes in the last 5 years_Yes, because of other reasons",1.05,55703,"Major dietary changes in the last 5 years_Yes, because of other reasons >= 0.50",0.15,0.19,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Eosinophill percentage,,,0,1.0,0.0,0.0,0.001,0.526,0.003,0.0,Eosinophill percentage,1.15,1191,Eosinophill percentage < -1.30,-0.14,-0.14,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Most recent bowel cancer screening Less than 1 year ago,,,0,1.0,0.0,0.0,0.0,0.046,-0.005,0.001,Most recent bowel cancer screening_Less than 1 year ago,1.0,172315,Most recent bowel cancer screening_Less than 1 year ago < 0.50,0.01,0.01,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Genetic ethnic grouping Caucasian,,,0,1.0,0.0,0.0,0.002,0.0,0.013,0.033,Genetic ethnic grouping_Caucasian,1.02,155258,Genetic ethnic grouping_Caucasian >= 0.50,-0.03,-0.03,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit nursing,,,0,1.0,0.0,0.0,0.0,0.048,0.005,0.0,Job code at visit__nursing,1.2,942,Job code at visit__nursing >= 0.24,-0.08,-0.08,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",,,0,1.0,0.0,0.0,0.0,0.013,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.0,189568,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",0.02,0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Eye problems/disorders Macular degeneration|Other serious eye condition,,,0,1.0,0.0,0.0,0.0,0.0,0.008,0.0,Eye problems/disorders_Macular degeneration|Other serious eye condition,1.0,189543,Eye problems/disorders_Macular degeneration|Other serious eye condition < 0.50,0.25,0.29,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Mineral and other dietary supplements Zinc|Selenium,,,0,1.0,0.0,0.0,0.0,0.034,0.005,0.001,Mineral and other dietary supplements_Zinc|Selenium,1.53,158,Mineral and other dietary supplements_Zinc|Selenium >= 0.50,0.03,0.03,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit judges coroners,,,0,1.0,0.0,0.0,0.0,0.0,-0.009,0.0,Job code at visit__judges coroners,1.0,188813,Job code at visit__judges coroners < 0.19,0.05,0.06,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,medication preparations,,,0,1.0,0.0,0.0,0.0,0.017,-0.005,0.0,Treatment/medication code | Array 0__preparations,1.0,189313,Treatment/medication code | Array 0__preparations < 0.22,0.02,0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Falls in the last year No falls,,,0,1.0,0.0,0.0,0.0,0.0,-0.016,0.033,Falls in the last year_No falls,1.09,43881,Falls in the last year_No falls < 0.50,-0.05,-0.05,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,medication glucosamine,,,0,1.0,0.0,0.0,0.0,0.0,-0.008,0.001,Treatment/medication code | Array 0__glucosamine,1.0,187160,Treatment/medication code | Array 0__glucosamine < 0.31,0.07,0.07,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Myopia diagnosis moderate/low myopia,,,0,1.0,0.0,0.0,0.0,0.002,-0.007,0.0,Myopia diagnosis_moderate/low myopia,1.01,179298,Myopia diagnosis_moderate/low myopia < 0.50,0.1,0.1,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,(EOC) epithelial ovarian cancer genetic risk,,,0,1.0,0.0,0.0,0.004,0.039,-0.005,0.001,(EOC) epithelial ovarian cancer genetic risk,1.3,253,0.50 <= (EOC) epithelial ovarian cancer genetic risk < 0.50,0.05,0.09,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Arm fat percentage,,,0,1.0,0.0,0.0,0.09,0.0,0.054,0.002,Arm fat percentage (left),1.9,463,Arm fat percentage (left) >= 2.70,0.06,0.06,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Illnesses of siblings 4 Heart disease,,,0,1.0,0.0,0.0,0.0,0.002,0.007,0.0,Illnesses of siblings_4_Heart disease,1.45,486,Illnesses of siblings_4_Heart disease >= 0.50,0.12,0.12,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,medication gaviscon liquid,,,0,1.0,0.0,0.0,0.0,0.012,0.006,0.0,Treatment/medication code | Array 0__gaviscon liquid,1.47,284,Treatment/medication code | Array 0__gaviscon liquid >= 0.29,-0.02,-0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the lung|Emphysema/chronic bronchitis",,,0,1.0,0.0,0.0,0.0,0.047,0.005,0.001,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Emphysema/chronic bronchitis",1.0,189576,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Emphysema/chronic bronchitis < 0.50",0.09,0.09,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Apolipoprotein A Blood biochemistry,,,0,1.0,0.0,0.0,0.056,0.0,-0.038,0.0,Apolipoprotein A Blood biochemistry,1.89,134,-1.40 <= Apolipoprotein A Blood biochemistry < -1.40,0.14,0.14,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,hayfever allergic,,,0,1.0,0.0,0.0,0.0,0.004,-0.007,0.001,"Non-cancer illness code, self-reported | Array 0__hayfever allergic",1.0,187071,"Non-cancer illness code, self-reported | Array 0__hayfever allergic < 0.22",-0.18,-0.18,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Mental health conditions ever diagnosed by a professional nerves agoraphobia,,,0,1.0,0.0,0.0,0.0,0.009,0.007,0.0,Mental health conditions ever diagnosed by a professional__nerves agoraphobia,1.0,189535,Mental health conditions ever diagnosed by a professional__nerves agoraphobia < 0.13,-0.02,-0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,gord,,,0,1.0,0.0,0.0,0.0,0.004,0.007,0.0,"Non-cancer illness code, self-reported | Array 0__gord",1.21,1893,"Non-cancer illness code, self-reported | Array 0__gord >= 0.14",0.06,0.22,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit proprietors,,,0,1.0,0.0,0.0,0.0,0.021,-0.005,0.0,Job code at visit__proprietors,1.0,188749,Job code at visit__proprietors < 0.24,-0.04,-0.04,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,medication multivitamin mineral,,,0,1.0,0.0,0.0,0.0,0.017,-0.005,0.001,Treatment/medication code | Array 0__multivitamin mineral,1.0,189313,Treatment/medication code | Array 0__multivitamin mineral < 0.22,0.12,0.12,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,(non-UK origin) Country of Birth yemen,,,0,1.0,0.0,0.0,0.0,0.031,0.005,0.0,(non-UK origin) Country of Birth__yemen,1.0,189571,(non-UK origin) Country of Birth__yemen < 0.50,-0.05,-0.05,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,medication capsule,,,0,1.0,0.0,0.0,0.001,0.192,0.001,0.0,Treatment/medication code | Array 0__capsule,1.78,291,0.39 <= Treatment/medication code | Array 0__capsule < 0.46,0.05,0.05,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit education teaching,,,0,1.0,0.0,0.0,0.0,0.0,-0.012,0.0,Job code at visit__education teaching,1.01,180480,Job code at visit__education teaching < 0.15,-0.09,-0.09,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis",,,0,1.0,0.0,0.0,0.0,0.001,0.008,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis",1.0,189526,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis < 0.50",0.06,0.06,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Z98.0 - Intestinal bypass and anastomosis status,,,0,1.0,0.0,0.0,0.001,0.129,0.01,0.0,Z98.0 - Intestinal bypass and anastomosis status,2.17,167,-33.00 <= Z98.0 - Intestinal bypass and anastomosis status < -11.00,0.07,0.07,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit managers chartered,,,0,1.0,0.0,0.0,0.0,0.034,-0.005,0.002,Job code at visit__managers chartered,1.0,188529,Job code at visit__managers chartered < 0.22,-0.07,-0.07,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit accountants,,,0,1.0,0.0,0.0,0.0,0.001,-0.008,0.0,Job code at visit__accountants,1.0,188779,Job code at visit__accountants < 0.23,0.02,0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Mouth/teeth dental problems Bleeding gums|Dentures,,,0,1.0,0.0,0.0,0.0,0.0,0.008,0.0,Mouth/teeth dental problems_Bleeding gums|Dentures,1.29,1608,Mouth/teeth dental problems_Bleeding gums|Dentures >= 0.50,0.09,0.1,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit communication technology,,,0,1.0,0.0,0.0,0.0,0.002,-0.007,0.0,Job code at visit__communication technology,1.0,188481,Job code at visit__communication technology < 0.20,-0.04,-0.04,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,allergy anaphylactic,,,0,1.0,0.0,0.0,0.0,0.021,0.005,0.0,"Non-cancer illness code, self-reported | Array 3__allergy anaphylactic",1.52,116,"0.18 <= Non-cancer illness code, self-reported | Array 3__allergy anaphylactic < 0.37",-0.16,-0.16,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Asthma",,,0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma",1.5,816,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma >= 0.50",0.1,0.1,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,obstructive airways,,,0,1.0,0.0,0.0,0.0,0.045,0.005,0.0,"Non-cancer illness code, self-reported | Array 2__obstructive airways",1.44,206,"Non-cancer illness code, self-reported | Array 2__obstructive airways >= 0.17",0.11,0.26,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,General pain for 3+ months infrequent,,,0,1.0,0.0,0.0,0.0,0.044,0.005,0.0,General pain for 3+ months_infrequent_,1.0,189607,All values,0.05,0.05,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Wheeze or whistling in the chest in last year,,,0,1.0,0.0,0.0,0.002,0.0,0.028,0.005,Wheeze or whistling in the chest in last year_Yes,1.16,45415,Wheeze or whistling in the chest in last year_Yes >= 0.50,0.14,0.17,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Pulse wave reflection index,,,0,1.0,0.0,0.0,0.004,0.081,-0.011,0.0,Pulse wave reflection index,1.19,3268,-1.60 <= Pulse wave reflection index < -1.20,-0.1,-0.1,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,(non-UK origin) Country of Birth usa,,,0,1.0,0.0,0.0,0.0,0.003,-0.007,0.0,(non-UK origin) Country of Birth__usa,1.0,189098,(non-UK origin) Country of Birth__usa < 0.50,-0.04,-0.04,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,allergy hypersensitivity,,,0,1.0,0.0,0.0,0.0,0.004,0.007,0.0,"Non-cancer illness code, self-reported | Array 6__allergy hypersensitivity",1.0,189566,"Non-cancer illness code, self-reported | Array 6__allergy hypersensitivity < 0.23",-0.03,-0.03,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Never eat eggs, dairy, wheat, sugar Sugar or foods/drinks containing sugar",,,0,1.0,0.0,0.0,0.005,0.167,-0.003,0.002,"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",1.0,154814,"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar < 0.50",0.01,0.01,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit metal,,,0,1.0,0.0,0.0,0.0,0.002,-0.006,0.0,Job code at visit__metal,1.0,187806,Job code at visit__metal < 0.16,-0.01,-0.01,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Vascular/heart problems diagnosed by doctor High blood pressure,,,0,1.0,0.0,0.0,0.0,0.0,0.009,0.007,Vascular/heart problems diagnosed by doctor_High blood pressure,1.04,54093,Vascular/heart problems diagnosed by doctor_High blood pressure >= 0.50,0.06,0.06,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Vascular/heart problems diagnosed by doctor None of the above,,,0,1.0,0.0,0.0,0.0,0.0,-0.021,0.032,Vascular/heart problems diagnosed by doctor_None of the above,1.09,69382,Vascular/heart problems diagnosed by doctor_None of the above < 0.50,0.04,0.04,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit financial,,,0,1.0,0.0,0.0,0.0,0.0,-0.007,0.0,Job code at visit__financial,1.0,184793,Job code at visit__financial < 0.13,-0.11,-0.11,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Job code at visit certified accountants,,,0,1.0,0.0,0.0,0.0,0.001,-0.008,0.0,Job code at visit__certified accountants,1.0,188866,Job code at visit__certified accountants < 0.23,-0.02,-0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"M81.99 - Osteoporosis, unspecified (Site unspecified)",,,0,1.0,0.0,0.0,0.0,0.0,0.009,0.001,"M81.99 - Osteoporosis, unspecified (Site unspecified)",2.2,185,"7.80 <= M81.99 - Osteoporosis, unspecified (Site unspecified) < 10.00",0.13,0.13,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Mental health conditions ever diagnosed by a professional nerves,,,0,1.0,0.0,0.0,0.001,0.317,0.004,0.0,Mental health conditions ever diagnosed by a professional__nerves,1.62,245,0.07 <= Mental health conditions ever diagnosed by a professional__nerves < 0.12,-0.02,-0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Tinnitus severity/nuisance infrequent,,,0,1.0,0.0,0.0,0.0,0.016,0.006,0.0,Tinnitus severity/nuisance_infrequent_,1.0,189607,All values,0.05,0.05,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Home area population density - urban or rural England/Wales - Urban - less sparse,,,0,1.0,0.0,0.0,0.001,0.021,0.005,0.034,Home area population density - urban or rural_England/Wales - Urban - less sparse,1.01,151002,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,-0.05,-0.02,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Never eat eggs, dairy, wheat, sugar Dairy products|Sugar or foods/drinks containing sugar",,,0,1.0,0.0,0.0,0.0,0.015,0.006,0.0,"Never eat eggs, dairy, wheat, sugar_Dairy products|Sugar or foods/drinks containing sugar",1.26,864,"Never eat eggs, dairy, wheat, sugar_Dairy products|Sugar or foods/drinks containing sugar >= 0.50",0.01,0.01,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,Age angina diagnosed,,,0,1.0,0.0,0.0,0.0,0.022,0.005,0.0,Age angina diagnosed_65,1.53,187,Age angina diagnosed_65 >= 0.50,0.08,0.08,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Asthma",,,0,1.0,0.0,0.0,0.0,0.006,0.006,0.001,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Asthma",1.48,326,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Asthma >= 0.50",0.03,0.03,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40627,75025,67,0.047,-0.298,,
